"destination_country","origin_country","Rank","1990","1995","2000","2005","2010","2015","2019"
"Russian Federation","Georgia",446,0,0,0,0,0,0,450115
"United States of America","Jamaica",447,0,449926,0,0,0,0,0
"Guinea","Liberia",448,0,449575,0,0,0,0,0
"Australia","India",449,0,0,0,0,0,449040,0
"France","Spain",450,0,447770,0,0,0,0,0
"Nepal","India",451,0,0,0,0,0,446113,0
"Côte d'Ivoire","Mali",452,0,445636,0,0,0,0,0
"Côte d'Ivoire","Mali",453,0,0,443223,0,0,0,0
"Ethiopia","Somalia",454,0,0,0,0,0,442910,0
"United Kingdom","Ireland",455,0,0,0,0,0,0,442796
"Russian Federation","Georgia",456,0,0,0,0,441793,0,0
"Syrian Arab Republic","State of Palestine",457,0,0,0,441091,0,0,0
"Germany","Czechia",458,0,0,0,0,439737,0,0
"United States of America","Italy",459,0,0,0,438874,0,0,0
"Poland","Ukraine",460,438692,0,0,0,0,0,0
"Thailand","Myanmar",461,0,436777,0,0,0,0,0
"United States of America","Ecuador",462,0,0,0,0,435209,0,0
"Sudan","Eritrea",463,0,0,435158,0,0,0,0
"France","Spain",464,433748,0,0,0,0,0,0
