,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,
,,,,"Table 5 - Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Annual rate of change of the migrant stock (both sexes),,,,,,Annual rate of change of the migrant stock (male),,,,,,Annual rate of change of the migrant stock (female),,,,,
,,,,,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
104,United Arab Emirates,,784,C R,6.7,5.9,5.9,16.0,1.8,1.8,6.8,5.9,6.1,16.5,1.5,1.8,6.3,5.9,5.2,14.6,2.5,1.8
105,Yemen,,887,CR,2.8,1.2,3.4,10.4,5.5,0.4,3.0,0.7,4.1,9.1,4.9,0.4,2.5,1.9,2.5,11.9,6.2,0.4
106,CENTRAL AND SOUTHERN ASIA,,921,,-4.2,-0.7,-1.5,0.6,-0.1,0.2,-4.3,-0.6,-1.7,0.9,-0.3,0.2,-4.0,-0.9,-1.3,0.4,0.0,0.3
107,Central Asia,,5500,,-2.3,-2.6,0.2,0.1,0.5,0.7,-2.3,-2.6,0.7,0.6,0.8,0.7,-2.4,-2.5,-0.3,-0.3,0.2,0.6
108,Kazakhstan,,398,B,-2.1,-2.5,1.5,1.4,1.2,1.1,-2.1,-2.5,2.1,2.0,1.6,1.1,-2.1,-2.5,1.0,1.0,0.9,1.1
109,Kyrgyzstan,,417,B,-3.7,-5.7,-4.6,-5.8,-2.5,-0.5,-3.7,-5.7,-4.8,-6.1,-2.7,-0.5,-3.7,-5.7,-4.5,-5.5,-2.4,-0.5
110,Tajikistan,,762,B,-4.2,-3.0,-1.3,-0.0,-0.3,-0.1,-4.3,-2.9,-1.6,0.1,-0.5,-0.1,-4.1,-3.1,-1.1,-0.1,-0.2,-0.1
111,Turkmenistan,,795,B,-2.3,-4.4,-0.6,-1.5,-0.2,-0.2,-0.3,-5.0,-0.3,-2.2,0.2,0.2,-3.9,-3.9,-0.8,-0.8,-0.5,-0.5
112,Uzbekistan,,860,B,-1.8,-1.5,-1.1,-1.7,-0.8,-0.1,-1.9,-1.6,-0.6,-1.1,-0.5,-0.0,-1.7,-1.3,-1.6,-2.2,-1.1,-0.1
113,Southern Asia,,5501,,-4.8,-0.1,-2.1,0.8,-0.4,0.1,-5.0,0.0,-2.5,0.9,-0.7,-0.0,-4.7,-0.2,-1.8,0.7,-0.1,0.1
