,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,,,,,,,,
112,Uzbekistan,,860,B,56.2,56.5,56.9,55.7,54.2,53.4,53.4,,,,,,,,
113,Southern Asia,,5501,,46.9,47.3,47.0,47.9,47.6,48.4,48.5,,,,,,,,
114,Afghanistan,,4,B,43.6,45.3,43.6,43.6,43.6,49.3,49.9,,,,,,,,
115,Bangladesh,,50,B R,46.0,46.1,46.2,46.8,47.2,47.1,48.6,,,,,,,,
116,Bhutan,,64,B,18.5,18.5,18.5,18.7,18.9,15.1,15.1,,,,,,,,
117,India,,356,B R,47.8,48.1,48.5,48.6,48.7,48.8,48.8,,,,,,,,
118,Iran (Islamic Republic of),,364,B R,42.8,41.9,40.7,45.1,43.1,47.0,47.0,,,,,,,,
119,Maldives,,462,C,45.0,50.1,45.0,39.9,23.7,12.3,12.3,,,,,,,,
120,Nepal,,524,B R,70.7,68.5,66.3,65.4,67.2,69.3,69.7,,,,,,,,
121,Pakistan,,586,B R,47.4,46.8,46.2,46.1,47.4,47.4,47.4,,,,,,,,
122,Sri Lanka,,144,B R,43.6,44.4,45.3,46.1,46.9,47.8,47.8,,,,,,,,
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,48.7,49.7,50.8,50.4,50.0,49.6,49.3,,,,,,,,
124,Eastern Asia,,906,,49.6,51.0,52.7,52.8,52.8,52.5,52.4,,,,,,,,
125,China,9,156,C,49.0,49.6,50.0,44.0,40.5,38.6,38.6,,,,,,,,
126,"China, Hong Kong SAR",10,344,B,49.3,51.9,54.1,56.4,58.7,60.5,61.1,,,,,,,,
127,"China, Macao SAR",11,446,B,53.0,53.9,54.6,53.3,54.0,53.6,53.6,,,,,,,,
128,Dem. People's Republic of Korea,,408,I,49.0,50.0,51.0,50.7,50.5,50.2,50.2,,,,,,,,
129,Japan,,392,C,49.9,50.1,52.7,53.7,54.4,53.0,51.7,,,,,,,,
130,Mongolia,,496,C,49.1,46.7,44.4,34.0,26.0,33.2,33.2,,,,,,,,
131,Republic of Korea,,410,C,43.7,42.9,41.4,41.5,42.9,43.9,43.9,,,,,,,,
132,South-Eastern Asia,,920,,47.5,48.2,48.9,48.2,47.8,47.3,46.8,,,,,,,,
133,Brunei Darussalam,,96,B,42.8,43.6,44.1,43.9,43.6,43.4,43.4,,,,,,,,
134,Cambodia,,116,B,50.3,50.8,51.0,49.6,47.1,46.1,46.1,,,,,,,,
135,Indonesia,,360,B R,50.6,49.4,47.6,42.8,42.7,41.8,41.8,,,,,,,,
136,Lao People's Democratic Republic,,418,C R,48.4,48.1,47.3,46.3,38.9,35.6,35.6,,,,,,,,
