,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,
,,,,"Table 6 - Estimated refugee stock (including asylum seekers) at mid-year by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,,Refugees and asylum seekers as a percentage of the international migrant stock,,,,,,,Annual rate of change of the refugee stock (including asylum seekers),,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
89,Azerbaijan,5,31,B R,..,"233,682","54,663","3,505","1,908","1,380","1,244",..,67.9,16.7,1.2,0.7,0.5,0.5,..,-29.1,-54.9,-12.2,-6.5,-2.6
90,Bahrain,,48,C,"1,780",891,1,83,165,360,356,1.0,0.4,0.0,0.0,0.0,0.1,0.0,-13.8,-135.8,88.4,13.7,15.6,-0.3
91,Cyprus,6,196,B,17,57,97,701,"3,394","15,327","16,165",0.0,0.1,0.1,0.6,1.8,8.0,8.4,24.2,10.6,39.6,31.5,30.2,1.3
92,Georgia,7,268,B,..,"3,200","6,400","3,520",639,"2,712","2,569",..,2.1,8.4,4.9,0.9,3.5,3.3,..,13.9,-12.0,-34.1,28.9,-1.4
93,Iraq,,368,C R,900,"116,722","127,787","50,177","34,651","285,150","290,673",1.1,58.5,60.7,37.8,29.5,79.3,79.0,97.3,1.8,-18.7,-7.4,42.2,0.5
94,Israel,,376,B R,0,"1,051","2,102","1,548","25,471","44,623","55,208",0.0,0.1,0.1,0.1,1.3,2.2,2.8,..,13.9,-6.1,56.0,11.2,5.3
95,Jordan,,400,C R,"929,482","1,250,358","1,571,234","1,972,086","2,372,937","2,751,479","2,928,724",81.1,81.3,81.5,84.8,87.1,88.4,87.5,5.9,4.6,4.5,3.7,3.0,1.6
96,Kuwait,,414,C R,"30,000","3,306","2,776","1,523",184,"1,641","1,695",2.8,0.4,0.2,0.1,0.0,0.1,0.1,-44.1,-3.5,-12.0,-42.3,43.8,0.8
97,Lebanon,,422,B R,"305,499","342,697","379,894","421,239","462,584","1,592,607","1,558,615",58.3,56.3,54.8,55.7,56.4,80.7,83.6,2.3,2.1,2.1,1.9,24.7,-0.5
98,Oman,,512,C,0,0,0,7,78,435,701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,48.2,34.4,11.9
99,Qatar,,634,C,0,0,35,74,67,238,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,15.0,-2.0,25.4,3.3
100,Saudi Arabia,,682,C R,"33,261","13,169","5,480","240,913",669,157,210,0.7,0.3,0.1,3.7,0.0,0.0,0.0,-18.5,-17.5,75.7,-117.7,-29.0,7.3
101,State of Palestine,8,275,B,"910,637","1,159,134","1,407,631","1,681,550","1,955,469","2,051,096","2,214,783",..,..,..,..,..,..,..,4.8,3.9,3.6,3.0,1.0,1.9
102,Syrian Arab Republic,,760,C R,"282,794","363,644","390,811","455,945","1,483,993","590,438","589,358",39.6,43.8,46.8,51.9,83.0,67.8,67.9,5.0,1.4,3.1,23.6,-18.4,-0.0
103,Turkey,,792,B R,"30,534","12,841","3,103","2,399","10,032","2,753,760","3,787,207",2.6,1.1,0.2,0.2,0.7,63.4,64.4,-17.3,-28.4,-5.1,28.6,112.3,8.0
104,United Arab Emirates,,784,C R,433,407,897,183,624,"1,084","2,751",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,15.8,-31.8,24.5,11.0,23.3
105,Yemen,,887,CR,"41,534","53,453","61,956","82,735","192,649","277,039","280,656",34.9,39.2,42.7,48.1,66.8,72.9,72.8,5.0,3.0,5.8,16.9,7.3,0.3
106,CENTRAL AND SOUTHERN ASIA,,921,,"7,011,227","3,712,870","4,277,031","2,518,831","3,499,008","3,435,870","3,619,513",26.8,17.5,20.9,13.3,17.9,17.7,18.4,-12.7,2.8,-10.6,6.6,-0.4,1.3
107,Central Asia,,5500,,"3,000","55,538","101,526","67,968","12,892","3,707","4,235",0.0,0.9,2.0,1.3,0.2,0.1,0.1,58.4,12.1,-8.0,-33.2,-24.9,3.3
